Data Caixa,CodO,Credito,CodD,Debito,Extrato, Valor 
1-Apr-15,10103,Conta Corrente Itau,10302,Credito com Familiares,Cart‹o de Cr_dito BB Black,16000.00
1-Apr-15,30200,Presentes da Familia,10103,Conta Corrente Itau,Cart‹o de Cr_dito BB Black,16000.00
1-Apr-15,30200,Presentes da Familia,10402,Previdencia Privada,,430
22-Apr-15,10103,Conta Corrente Itau,40702,Taxas Bancarias,SEGURO CARTAO,4.99
24-Apr-15,30200,Presentes da Familia,10501,Eletronicos,Ableton Push,2000
24-Apr-15,10103,Conta Corrente Itau,10105,Aplicaoes Automaticas Itau,APL APLIC AUT MAIS,726.41
24-Apr-15,30200,Presentes da Familia,10504,Outros Artigos,iPhone 4S,300
24-Apr-15,30200,Presentes da Familia,10504,Outros Artigos,iPhone SE,1500
24-Apr-15,30200,Presentes da Familia,10504,Outros Artigos,Macbook Pro,1500
24-Apr-15,10101,Carteira,10504,Outros Artigos,Rodinhas,100
24-Apr-15,10103,Conta Corrente Itau,40708,Nao Classificado,RSHOP-ANTONIO M M-24/04,18
24-Apr-15,10103,Conta Corrente Itau,40308,Taxi & Uber,RSHOP-EVERALDO DE-24/04,39
24-Apr-15,10103,Conta Corrente Itau,40205,Almocos e Jantares,RSHOP-TEMPERO BOM-24/04,40.7
24-Apr-15,10103,Conta Corrente Itau,40308,Taxi & Uber,RSHOP-VALMIR TAXI-24/04,20.9
24-Apr-15,30200,Presentes da Familia,10504,Outros Artigos,Skate,300
24-Apr-15,20301,Divida com Amauri,10103,Conta Corrente Itau,TBI 445403121-4 C/C,1000.00
24-Apr-15,30200,Presentes da Familia,10504,Outros Artigos,Tênis DC,200
24-Apr-15,30200,Presentes da Familia,10503,Veiculos,VW GOLF,40000
27-Apr-15,10105,Aplicaoes Automaticas Itau,10103,Conta Corrente Itau,RES APLIC AUT MAIS,227.75
27-Apr-15,10103,Conta Corrente Itau,40503,Conveniencia,RSHOP-AUTO POSTO -25/04,12.5
27-Apr-15,10103,Conta Corrente Itau,40501,Festas. Shows & Eventos,RSHOP-INGRESSOS -26/04,20
27-Apr-15,10103,Conta Corrente Itau,40501,Festas. Shows & Eventos,RSHOP-INGRESSOS -26/04,40
27-Apr-15,10103,Conta Corrente Itau,40201,Supermercado,RSHOP-PAO DE ACUC-26/04,37.03
27-Apr-15,10103,Conta Corrente Itau,40502,Bares & Bebidas,RSHOP-PITICO SAND-26/04,10
27-Apr-15,10103,Conta Corrente Itau,40502,Bares & Bebidas,RSHOP-PITICO SAND-26/04,56
27-Apr-15,10103,Conta Corrente Itau,40202,Alimentacao Trabalho,RSHOP-SABORES DA -25/04,47
27-Apr-15,10103,Conta Corrente Itau,40502,Bares & Bebidas,RSHOP-SUNSET -25/04,60
27-Apr-15,10103,Conta Corrente Itau,40205,Almocos e Jantares,RSHOP-YOI ROLL'S -27/04,85.22
28-Apr-15,40701,Juros,10103,Conta Corrente Itau,EST LIS/JUROS,1.28
28-Apr-15,10103,Conta Corrente Itau,40701,Juros,LIS/JUROS,1.28
28-Apr-15,10105,Aplicaoes Automaticas Itau,10103,Conta Corrente Itau,RES APLIC AUT MAIS,119.8
28-Apr-15,10103,Conta Corrente Itau,40708,Nao Classificado,RSHOP-CCH ALIMENT-28/04,13
28-Apr-15,10103,Conta Corrente Itau,40202,Alimentacao Trabalho,RSHOP-MERCATTINO -28/04,26.8
28-Apr-15,10103,Conta Corrente Itau,40301,Combustivel & Oleo,RSHOP-POSTO DE SE-28/04,50
28-Apr-15,10103,Conta Corrente Itau,40306,Estacionamento,RSHOP-ROD ESTACIM-28/04,30
29-Apr-15,10105,Aplicaoes Automaticas Itau,10103,Conta Corrente Itau,RES APLIC AUT MAIS,127.15
29-Apr-15,10103,Conta Corrente Itau,40306,Estacionamento,RSHOP-ARTE PARK -29/04,10
29-Apr-15,10103,Conta Corrente Itau,40306,Estacionamento,RSHOP-GRSA INSPER-29/04,17.15
29-Apr-15,10103,Conta Corrente Itau,10101,Carteira,SAQUE 24H 06509350,100
30-Apr-15,10105,Aplicaoes Automaticas Itau,10103,Conta Corrente Itau,RES APLIC AUT MAIS,87.25
30-Apr-15,10103,Conta Corrente Itau,40503,Conveniencia,RSHOP-AUTO POSTO -30/04,9.25
30-Apr-15,10103,Conta Corrente Itau,40301,Combustivel & Oleo,RSHOP-TNT POSTO D-30/04,60
30-Apr-15,10103,Conta Corrente Itau,40306,Estacionamento,RSHOP-VALMI ESTAC-30/04,18
1-May-15,10103,Conta Corrente Itau,40504,Balada,RSHOP-TRACKERS - -01/05,50
1-May-15,10103,Conta Corrente Itau,40504,Balada,RSHOP-TRACKERS - -01/05,70
1-May-15,10101,Carteira,40705,Outras Despesas,,300
1-May-15,30200,Presentes da Familia,10402,Previdencia Privada,,430
2-May-15,10103,Conta Corrente Itau,40206,Cafes,RSHOP-STAR075 BAN-02/05,14.5
3-May-15,10103,Conta Corrente Itau,10101,Carteira,SAQUE 24H 14621759 03/05,100
4-May-15,10103,Conta Corrente Itau,40701,Juros,IOF,0.01
4-May-15,10105,Aplicaoes Automaticas Itau,10103,Conta Corrente Itau,RES APLIC AUT MAIS,164.46
4-May-15,10103,Conta Corrente Itau,40301,Combustivel & Oleo,RSHOP-AUTO POSTO -03/05,57.5
