Data Caixa;CodO;Credito;CodD;Debito;Extrato; Valor 
26-Dec-16;10103;Conta Corrente Itau;10201;Adiantamento de Despesas;INT PAG TIT 175000946140 æ æ ææ;1450.44
11-Apr-16;20202;Cartao Itau Master;40202;Alimentacao Trabalho;Restaurante Natural;27
2-Sep-16;20202;Cartao Itau Master;40202;Alimentacao Trabalho;FRUTARIA ITAIM EXPRESS;58.82
6-Sep-16;20202;Cartao Itau Master;40202;Alimentacao Trabalho;LANCHONETE SEMPRE JUNT;15.5
8-Sep-16;20202;Cartao Itau Master;40202;Alimentacao Trabalho;LBR COMERCIO DE SUCOS;21.8
9-Sep-16;20202;Cartao Itau Master;40202;Alimentacao Trabalho;MADUREIRA;51.34
11-Sep-16;20202;Cartao Itau Master;40202;Alimentacao Trabalho;CARLOS EDUARDO RODRIGU;20
12-Sep-16;20202;Cartao Itau Master;40202;Alimentacao Trabalho;L EPICERIE PROD CULINA;48.4
22-Sep-16;20202;Cartao Itau Master;40202;Alimentacao Trabalho;LBR COMERCIO DE SUCOS;21.8
23-Sep-16;20202;Cartao Itau Master;40202;Alimentacao Trabalho;BEFRESH RESTAURANTE;57.48
24-Sep-16;20202;Cartao Itau Master;40202;Alimentacao Trabalho;WILLIAN HIROYUKI OKABA;25
27-Sep-16;20202;Cartao Itau Master;40202;Alimentacao Trabalho;RESTAURANTE M SABOR;15.59
4-Oct-16;20202;Cartao Itau Master;40202;Alimentacao Trabalho;GIBELLAS RESTAURANTE;19.2
5-Oct-16;20202;Cartao Itau Master;40202;Alimentacao Trabalho;PIZZA A 510;23.9
6-Oct-16;20202;Cartao Itau Master;40202;Alimentacao Trabalho;BOLADOS SUCOS LTDA ME;24
7-Oct-16;20202;Cartao Itau Master;40202;Alimentacao Trabalho;ARPEGE BAR;37.95
9-Jan-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;RESTAURANTE NATURAL CA 29.00;29
11-Jan-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;FRESTO 43.80;43.8
7-Feb-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;TATA SUSHI COMERCIO DE 49.10;49.1
14-Feb-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;LBR COMERCIO DE SUCOS 21.80;21.8
15-Feb-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;PIZZA A 510 28.40;28.4
21-Feb-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;;30.8
2-Mar-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;ALVARENGAS LANCHONETE;29
6-Mar-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;FRESTO;32.8
7-Mar-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;GIBELLAS RESTAURANTE;17.94
9-Mar-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;PIZZA A 510;22.85
10-Mar-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;FAUSTO YUKIO ISHITANI;34.9
28-Mar-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;ROSH RSTAURANTE CAFETE;35.8
